node_id,type,layer,cabinet,slot,order,display_name,remarks
board:SW_4/SWITCH_CARD,board,switch,CAB-SWITCH,SLOT-SWITCH,4,SWITCH_CARD,generated sample board
port:SW_4/SWITCH_CARD/P4,port,switch,CAB-SWITCH,SLOT-SWITCH,4,P4,generated sample port
device:IPC_31,device,ipc,CAB-IPC,SLOT-IPC,31,IPC_31,generated sample device
board:IPC_31/IPC_IO,board,ipc,CAB-IPC,SLOT-IPC,31,IPC_IO,generated sample board
port:IPC_31/IPC_IO/P31,port,ipc,CAB-IPC,SLOT-IPC,31,P31,generated sample port
route:TRAY_8,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_8,generated sample route-node
device:IPC_5,device,ipc,CAB-IPC,SLOT-IPC,5,IPC_5,generated sample device
board:IPC_5/IPC_IO,board,ipc,CAB-IPC,SLOT-IPC,5,IPC_IO,generated sample board
port:IPC_5/IPC_IO/P5,port,ipc,CAB-IPC,SLOT-IPC,5,P5,generated sample port
device:PART_38,device,part,CAB-PART,SLOT-PART,38,PART_38,generated sample device
board:PART_38/PART_BOARD,board,part,CAB-PART,SLOT-PART,38,PART_BOARD,generated sample board
port:PART_38/PART_BOARD/P38,port,part,CAB-PART,SLOT-PART,38,P38,generated sample port
route:TRAY_9,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_9,generated sample route-node
device:PART_6,device,part,CAB-PART,SLOT-PART,6,PART_6,generated sample device
board:PART_6/PART_BOARD,board,part,CAB-PART,SLOT-PART,6,PART_BOARD,generated sample board
port:PART_6/PART_BOARD/P6,port,part,CAB-PART,SLOT-PART,6,P6,generated sample port
device:BRK_45,device,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,45,BRK_45,generated sample device
board:BRK_45/BREAKOUT_BOARD,board,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,45,BREAKOUT_BOARD,generated sample board
port:BRK_45/BREAKOUT_BOARD/P45,port,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,45,P45,generated sample port
route:TRAY_10,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_10,generated sample route-node
device:BRK_7,device,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,7,BRK_7,generated sample device
board:BRK_7/BREAKOUT_BOARD,board,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,7,BREAKOUT_BOARD,generated sample board
port:BRK_7/BREAKOUT_BOARD/P7,port,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,7,P7,generated sample port
device:IFACE_52,device,interface,CAB-INTERFACE,SLOT-INTERFACE,52,IFACE_52,generated sample device
board:IFACE_52/INTERFACE_BOARD,board,interface,CAB-INTERFACE,SLOT-INTERFACE,52,INTERFACE_BOARD,generated sample board
port:IFACE_52/INTERFACE_BOARD/P52,port,interface,CAB-INTERFACE,SLOT-INTERFACE,52,P52,generated sample port
route:TRAY_11,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_11,generated sample route-node
device:IFACE_8,device,interface,CAB-INTERFACE,SLOT-INTERFACE,8,IFACE_8,generated sample device
board:IFACE_8/INTERFACE_BOARD,board,interface,CAB-INTERFACE,SLOT-INTERFACE,8,INTERFACE_BOARD,generated sample board
port:IFACE_8/INTERFACE_BOARD/P8,port,interface,CAB-INTERFACE,SLOT-INTERFACE,8,P8,generated sample port
device:CTRL_59,device,control,CAB-CONTROL,SLOT-CONTROL,59,CTRL_59,generated sample device
board:CTRL_59/CONTROL_BOARD,board,control,CAB-CONTROL,SLOT-CONTROL,59,CONTROL_BOARD,generated sample board
port:CTRL_59/CONTROL_BOARD/P59,port,control,CAB-CONTROL,SLOT-CONTROL,59,P59,generated sample port
route:TRAY_12,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_12,generated sample route-node
device:CTRL_9,device,control,CAB-CONTROL,SLOT-CONTROL,9,CTRL_9,generated sample device
board:CTRL_9/CONTROL_BOARD,board,control,CAB-CONTROL,SLOT-CONTROL,9,CONTROL_BOARD,generated sample board
port:CTRL_9/CONTROL_BOARD/P9,port,control,CAB-CONTROL,SLOT-CONTROL,9,P9,generated sample port
device:SW_66,device,switch,CAB-SWITCH,SLOT-SWITCH,66,SW_66,generated sample device
board:SW_66/SWITCH_CARD,board,switch,CAB-SWITCH,SLOT-SWITCH,66,SWITCH_CARD,generated sample board
port:SW_66/SWITCH_CARD/P66,port,switch,CAB-SWITCH,SLOT-SWITCH,66,P66,generated sample port
route:TRAY_13,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_13,generated sample route-node
device:SW_10,device,switch,CAB-SWITCH,SLOT-SWITCH,10,SW_10,generated sample device
board:SW_10/SWITCH_CARD,board,switch,CAB-SWITCH,SLOT-SWITCH,10,SWITCH_CARD,generated sample board
port:SW_10/SWITCH_CARD/P10,port,switch,CAB-SWITCH,SLOT-SWITCH,10,P10,generated sample port
device:IPC_73,device,ipc,CAB-IPC,SLOT-IPC,73,IPC_73,generated sample device
board:IPC_73/IPC_IO,board,ipc,CAB-IPC,SLOT-IPC,73,IPC_IO,generated sample board
port:IPC_73/IPC_IO/P73,port,ipc,CAB-IPC,SLOT-IPC,73,P73,generated sample port
route:TRAY_14,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_14,generated sample route-node
device:IPC_11,device,ipc,CAB-IPC,SLOT-IPC,11,IPC_11,generated sample device
board:IPC_11/IPC_IO,board,ipc,CAB-IPC,SLOT-IPC,11,IPC_IO,generated sample board
port:IPC_11/IPC_IO/P11,port,ipc,CAB-IPC,SLOT-IPC,11,P11,generated sample port
device:PART_80,device,part,CAB-PART,SLOT-PART,80,PART_80,generated sample device
board:PART_80/PART_BOARD,board,part,CAB-PART,SLOT-PART,80,PART_BOARD,generated sample board
port:PART_80/PART_BOARD/P80,port,part,CAB-PART,SLOT-PART,80,P80,generated sample port
route:TRAY_15,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_15,generated sample route-node
device:PART_12,device,part,CAB-PART,SLOT-PART,12,PART_12,generated sample device
board:PART_12/PART_BOARD,board,part,CAB-PART,SLOT-PART,12,PART_BOARD,generated sample board
port:PART_12/PART_BOARD/P12,port,part,CAB-PART,SLOT-PART,12,P12,generated sample port
device:BRK_87,device,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,87,BRK_87,generated sample device
board:BRK_87/BREAKOUT_BOARD,board,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,87,BREAKOUT_BOARD,generated sample board
port:BRK_87/BREAKOUT_BOARD/P87,port,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,87,P87,generated sample port
route:TRAY_16,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_16,generated sample route-node
device:BRK_13,device,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,13,BRK_13,generated sample device
board:BRK_13/BREAKOUT_BOARD,board,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,13,BREAKOUT_BOARD,generated sample board
port:BRK_13/BREAKOUT_BOARD/P13,port,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,13,P13,generated sample port
device:IFACE_94,device,interface,CAB-INTERFACE,SLOT-INTERFACE,94,IFACE_94,generated sample device
board:IFACE_94/INTERFACE_BOARD,board,interface,CAB-INTERFACE,SLOT-INTERFACE,94,INTERFACE_BOARD,generated sample board
port:IFACE_94/INTERFACE_BOARD/P94,port,interface,CAB-INTERFACE,SLOT-INTERFACE,94,P94,generated sample port
route:TRAY_17,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_17,generated sample route-node
device:IFACE_14,device,interface,CAB-INTERFACE,SLOT-INTERFACE,14,IFACE_14,generated sample device
board:IFACE_14/INTERFACE_BOARD,board,interface,CAB-INTERFACE,SLOT-INTERFACE,14,INTERFACE_BOARD,generated sample board
port:IFACE_14/INTERFACE_BOARD/P14,port,interface,CAB-INTERFACE,SLOT-INTERFACE,14,P14,generated sample port
device:CTRL_101,device,control,CAB-CONTROL,SLOT-CONTROL,101,CTRL_101,generated sample device
board:CTRL_101/CONTROL_BOARD,board,control,CAB-CONTROL,SLOT-CONTROL,101,CONTROL_BOARD,generated sample board
port:CTRL_101/CONTROL_BOARD/P101,port,control,CAB-CONTROL,SLOT-CONTROL,101,P101,generated sample port
route:TRAY_18,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_18,generated sample route-node
device:CTRL_15,device,control,CAB-CONTROL,SLOT-CONTROL,15,CTRL_15,generated sample device
board:CTRL_15/CONTROL_BOARD,board,control,CAB-CONTROL,SLOT-CONTROL,15,CONTROL_BOARD,generated sample board
port:CTRL_15/CONTROL_BOARD/P15,port,control,CAB-CONTROL,SLOT-CONTROL,15,P15,generated sample port
device:SW_108,device,switch,CAB-SWITCH,SLOT-SWITCH,108,SW_108,generated sample device
board:SW_108/SWITCH_CARD,board,switch,CAB-SWITCH,SLOT-SWITCH,108,SWITCH_CARD,generated sample board
port:SW_108/SWITCH_CARD/P108,port,switch,CAB-SWITCH,SLOT-SWITCH,108,P108,generated sample port
route:TRAY_19,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_19,generated sample route-node
device:SW_16,device,switch,CAB-SWITCH,SLOT-SWITCH,16,SW_16,generated sample device
board:SW_16/SWITCH_CARD,board,switch,CAB-SWITCH,SLOT-SWITCH,16,SWITCH_CARD,generated sample board
port:SW_16/SWITCH_CARD/P16,port,switch,CAB-SWITCH,SLOT-SWITCH,16,P16,generated sample port
device:IPC_115,device,ipc,CAB-IPC,SLOT-IPC,115,IPC_115,generated sample device
board:IPC_115/IPC_IO,board,ipc,CAB-IPC,SLOT-IPC,115,IPC_IO,generated sample board
port:IPC_115/IPC_IO/P115,port,ipc,CAB-IPC,SLOT-IPC,115,P115,generated sample port
route:TRAY_20,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_20,generated sample route-node
device:IPC_17,device,ipc,CAB-IPC,SLOT-IPC,17,IPC_17,generated sample device
board:IPC_17/IPC_IO,board,ipc,CAB-IPC,SLOT-IPC,17,IPC_IO,generated sample board
port:IPC_17/IPC_IO/P17,port,ipc,CAB-IPC,SLOT-IPC,17,P17,generated sample port
device:PART_122,device,part,CAB-PART,SLOT-PART,122,PART_122,generated sample device
board:PART_122/PART_BOARD,board,part,CAB-PART,SLOT-PART,122,PART_BOARD,generated sample board
port:PART_122/PART_BOARD/P122,port,part,CAB-PART,SLOT-PART,122,P122,generated sample port
route:TRAY_21,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_21,generated sample route-node
device:PART_18,device,part,CAB-PART,SLOT-PART,18,PART_18,generated sample device
board:PART_18/PART_BOARD,board,part,CAB-PART,SLOT-PART,18,PART_BOARD,generated sample board
port:PART_18/PART_BOARD/P18,port,part,CAB-PART,SLOT-PART,18,P18,generated sample port
device:BRK_129,device,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,129,BRK_129,generated sample device
board:BRK_129/BREAKOUT_BOARD,board,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,129,BREAKOUT_BOARD,generated sample board
port:BRK_129/BREAKOUT_BOARD/P129,port,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,129,P129,generated sample port
route:TRAY_22,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_22,generated sample route-node
device:BRK_19,device,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,19,BRK_19,generated sample device
board:BRK_19/BREAKOUT_BOARD,board,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,19,BREAKOUT_BOARD,generated sample board
port:BRK_19/BREAKOUT_BOARD/P19,port,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,19,P19,generated sample port
device:IFACE_136,device,interface,CAB-INTERFACE,SLOT-INTERFACE,136,IFACE_136,generated sample device
board:IFACE_136/INTERFACE_BOARD,board,interface,CAB-INTERFACE,SLOT-INTERFACE,136,INTERFACE_BOARD,generated sample board
port:IFACE_136/INTERFACE_BOARD/P136,port,interface,CAB-INTERFACE,SLOT-INTERFACE,136,P136,generated sample port
route:TRAY_23,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_23,generated sample route-node
device:IFACE_20,device,interface,CAB-INTERFACE,SLOT-INTERFACE,20,IFACE_20,generated sample device
board:IFACE_20/INTERFACE_BOARD,board,interface,CAB-INTERFACE,SLOT-INTERFACE,20,INTERFACE_BOARD,generated sample board
port:IFACE_20/INTERFACE_BOARD/P20,port,interface,CAB-INTERFACE,SLOT-INTERFACE,20,P20,generated sample port
device:CTRL_143,device,control,CAB-CONTROL,SLOT-CONTROL,143,CTRL_143,generated sample device
board:CTRL_143/CONTROL_BOARD,board,control,CAB-CONTROL,SLOT-CONTROL,143,CONTROL_BOARD,generated sample board
port:CTRL_143/CONTROL_BOARD/P143,port,control,CAB-CONTROL,SLOT-CONTROL,143,P143,generated sample port
route:TRAY_24,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_24,generated sample route-node
device:CTRL_21,device,control,CAB-CONTROL,SLOT-CONTROL,21,CTRL_21,generated sample device
board:CTRL_21/CONTROL_BOARD,board,control,CAB-CONTROL,SLOT-CONTROL,21,CONTROL_BOARD,generated sample board
port:CTRL_21/CONTROL_BOARD/P21,port,control,CAB-CONTROL,SLOT-CONTROL,21,P21,generated sample port
device:SW_150,device,switch,CAB-SWITCH,SLOT-SWITCH,150,SW_150,generated sample device
board:SW_150/SWITCH_CARD,board,switch,CAB-SWITCH,SLOT-SWITCH,150,SWITCH_CARD,generated sample board
port:SW_150/SWITCH_CARD/P150,port,switch,CAB-SWITCH,SLOT-SWITCH,150,P150,generated sample port
route:TRAY_25,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_25,generated sample route-node
device:SW_22,device,switch,CAB-SWITCH,SLOT-SWITCH,22,SW_22,generated sample device
board:SW_22/SWITCH_CARD,board,switch,CAB-SWITCH,SLOT-SWITCH,22,SWITCH_CARD,generated sample board
port:SW_22/SWITCH_CARD/P22,port,switch,CAB-SWITCH,SLOT-SWITCH,22,P22,generated sample port
device:IPC_157,device,ipc,CAB-IPC,SLOT-IPC,157,IPC_157,generated sample device
board:IPC_157/IPC_IO,board,ipc,CAB-IPC,SLOT-IPC,157,IPC_IO,generated sample board
port:IPC_157/IPC_IO/P157,port,ipc,CAB-IPC,SLOT-IPC,157,P157,generated sample port
route:TRAY_26,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_26,generated sample route-node
device:IPC_23,device,ipc,CAB-IPC,SLOT-IPC,23,IPC_23,generated sample device
board:IPC_23/IPC_IO,board,ipc,CAB-IPC,SLOT-IPC,23,IPC_IO,generated sample board
port:IPC_23/IPC_IO/P23,port,ipc,CAB-IPC,SLOT-IPC,23,P23,generated sample port
device:PART_4,device,part,CAB-PART,SLOT-PART,4,PART_4,generated sample device
board:PART_4/PART_BOARD,board,part,CAB-PART,SLOT-PART,4,PART_BOARD,generated sample board
port:PART_4/PART_BOARD/P4,port,part,CAB-PART,SLOT-PART,4,P4,generated sample port
route:TRAY_27,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_27,generated sample route-node
device:PART_24,device,part,CAB-PART,SLOT-PART,24,PART_24,generated sample device
board:PART_24/PART_BOARD,board,part,CAB-PART,SLOT-PART,24,PART_BOARD,generated sample board
port:PART_24/PART_BOARD/P24,port,part,CAB-PART,SLOT-PART,24,P24,generated sample port
device:BRK_11,device,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,11,BRK_11,generated sample device
board:BRK_11/BREAKOUT_BOARD,board,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,11,BREAKOUT_BOARD,generated sample board
port:BRK_11/BREAKOUT_BOARD/P11,port,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,11,P11,generated sample port
route:TRAY_28,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_28,generated sample route-node
device:BRK_25,device,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,25,BRK_25,generated sample device
board:BRK_25/BREAKOUT_BOARD,board,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,25,BREAKOUT_BOARD,generated sample board
port:BRK_25/BREAKOUT_BOARD/P25,port,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,25,P25,generated sample port
device:IFACE_18,device,interface,CAB-INTERFACE,SLOT-INTERFACE,18,IFACE_18,generated sample device
board:IFACE_18/INTERFACE_BOARD,board,interface,CAB-INTERFACE,SLOT-INTERFACE,18,INTERFACE_BOARD,generated sample board
port:IFACE_18/INTERFACE_BOARD/P18,port,interface,CAB-INTERFACE,SLOT-INTERFACE,18,P18,generated sample port
route:TRAY_29,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_29,generated sample route-node
device:IFACE_26,device,interface,CAB-INTERFACE,SLOT-INTERFACE,26,IFACE_26,generated sample device
board:IFACE_26/INTERFACE_BOARD,board,interface,CAB-INTERFACE,SLOT-INTERFACE,26,INTERFACE_BOARD,generated sample board
port:IFACE_26/INTERFACE_BOARD/P26,port,interface,CAB-INTERFACE,SLOT-INTERFACE,26,P26,generated sample port
device:CTRL_25,device,control,CAB-CONTROL,SLOT-CONTROL,25,CTRL_25,generated sample device
board:CTRL_25/CONTROL_BOARD,board,control,CAB-CONTROL,SLOT-CONTROL,25,CONTROL_BOARD,generated sample board
port:CTRL_25/CONTROL_BOARD/P25,port,control,CAB-CONTROL,SLOT-CONTROL,25,P25,generated sample port
route:TRAY_30,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_30,generated sample route-node
device:CTRL_27,device,control,CAB-CONTROL,SLOT-CONTROL,27,CTRL_27,generated sample device
board:CTRL_27/CONTROL_BOARD,board,control,CAB-CONTROL,SLOT-CONTROL,27,CONTROL_BOARD,generated sample board
port:CTRL_27/CONTROL_BOARD/P27,port,control,CAB-CONTROL,SLOT-CONTROL,27,P27,generated sample port
device:SW_32,device,switch,CAB-SWITCH,SLOT-SWITCH,32,SW_32,generated sample device
board:SW_32/SWITCH_CARD,board,switch,CAB-SWITCH,SLOT-SWITCH,32,SWITCH_CARD,generated sample board
port:SW_32/SWITCH_CARD/P32,port,switch,CAB-SWITCH,SLOT-SWITCH,32,P32,generated sample port
route:TRAY_31,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_31,generated sample route-node
device:SW_28,device,switch,CAB-SWITCH,SLOT-SWITCH,28,SW_28,generated sample device
board:SW_28/SWITCH_CARD,board,switch,CAB-SWITCH,SLOT-SWITCH,28,SWITCH_CARD,generated sample board
port:SW_28/SWITCH_CARD/P28,port,switch,CAB-SWITCH,SLOT-SWITCH,28,P28,generated sample port
device:IPC_39,device,ipc,CAB-IPC,SLOT-IPC,39,IPC_39,generated sample device
board:IPC_39/IPC_IO,board,ipc,CAB-IPC,SLOT-IPC,39,IPC_IO,generated sample board
port:IPC_39/IPC_IO/P39,port,ipc,CAB-IPC,SLOT-IPC,39,P39,generated sample port
route:TRAY_32,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_32,generated sample route-node
device:IPC_29,device,ipc,CAB-IPC,SLOT-IPC,29,IPC_29,generated sample device
board:IPC_29/IPC_IO,board,ipc,CAB-IPC,SLOT-IPC,29,IPC_IO,generated sample board
port:IPC_29/IPC_IO/P29,port,ipc,CAB-IPC,SLOT-IPC,29,P29,generated sample port
device:PART_46,device,part,CAB-PART,SLOT-PART,46,PART_46,generated sample device
board:PART_46/PART_BOARD,board,part,CAB-PART,SLOT-PART,46,PART_BOARD,generated sample board
port:PART_46/PART_BOARD/P46,port,part,CAB-PART,SLOT-PART,46,P46,generated sample port
route:TRAY_33,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_33,generated sample route-node
device:PART_30,device,part,CAB-PART,SLOT-PART,30,PART_30,generated sample device
board:PART_30/PART_BOARD,board,part,CAB-PART,SLOT-PART,30,PART_BOARD,generated sample board
port:PART_30/PART_BOARD/P30,port,part,CAB-PART,SLOT-PART,30,P30,generated sample port
device:BRK_53,device,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,53,BRK_53,generated sample device
board:BRK_53/BREAKOUT_BOARD,board,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,53,BREAKOUT_BOARD,generated sample board
port:BRK_53/BREAKOUT_BOARD/P53,port,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,53,P53,generated sample port
route:TRAY_34,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_34,generated sample route-node
device:BRK_31,device,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,31,BRK_31,generated sample device
board:BRK_31/BREAKOUT_BOARD,board,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,31,BREAKOUT_BOARD,generated sample board
port:BRK_31/BREAKOUT_BOARD/P31,port,breakout,CAB-BREAKOUT,SLOT-BREAKOUT,31,P31,generated sample port
device:IFACE_60,device,interface,CAB-INTERFACE,SLOT-INTERFACE,60,IFACE_60,generated sample device
board:IFACE_60/INTERFACE_BOARD,board,interface,CAB-INTERFACE,SLOT-INTERFACE,60,INTERFACE_BOARD,generated sample board
port:IFACE_60/INTERFACE_BOARD/P60,port,interface,CAB-INTERFACE,SLOT-INTERFACE,60,P60,generated sample port
route:TRAY_35,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_35,generated sample route-node
device:IFACE_32,device,interface,CAB-INTERFACE,SLOT-INTERFACE,32,IFACE_32,generated sample device
board:IFACE_32/INTERFACE_BOARD,board,interface,CAB-INTERFACE,SLOT-INTERFACE,32,INTERFACE_BOARD,generated sample board
port:IFACE_32/INTERFACE_BOARD/P32,port,interface,CAB-INTERFACE,SLOT-INTERFACE,32,P32,generated sample port
device:CTRL_67,device,control,CAB-CONTROL,SLOT-CONTROL,67,CTRL_67,generated sample device
board:CTRL_67/CONTROL_BOARD,board,control,CAB-CONTROL,SLOT-CONTROL,67,CONTROL_BOARD,generated sample board
port:CTRL_67/CONTROL_BOARD/P67,port,control,CAB-CONTROL,SLOT-CONTROL,67,P67,generated sample port
route:TRAY_36,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_36,generated sample route-node
device:CTRL_33,device,control,CAB-CONTROL,SLOT-CONTROL,33,CTRL_33,generated sample device
board:CTRL_33/CONTROL_BOARD,board,control,CAB-CONTROL,SLOT-CONTROL,33,CONTROL_BOARD,generated sample board
port:CTRL_33/CONTROL_BOARD/P33,port,control,CAB-CONTROL,SLOT-CONTROL,33,P33,generated sample port
device:SW_74,device,switch,CAB-SWITCH,SLOT-SWITCH,74,SW_74,generated sample device
board:SW_74/SWITCH_CARD,board,switch,CAB-SWITCH,SLOT-SWITCH,74,SWITCH_CARD,generated sample board
port:SW_74/SWITCH_CARD/P74,port,switch,CAB-SWITCH,SLOT-SWITCH,74,P74,generated sample port
route:TRAY_37,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_37,generated sample route-node
device:SW_34,device,switch,CAB-SWITCH,SLOT-SWITCH,34,SW_34,generated sample device
board:SW_34/SWITCH_CARD,board,switch,CAB-SWITCH,SLOT-SWITCH,34,SWITCH_CARD,generated sample board
port:SW_34/SWITCH_CARD/P34,port,switch,CAB-SWITCH,SLOT-SWITCH,34,P34,generated sample port
device:IPC_81,device,ipc,CAB-IPC,SLOT-IPC,81,IPC_81,generated sample device
board:IPC_81/IPC_IO,board,ipc,CAB-IPC,SLOT-IPC,81,IPC_IO,generated sample board
port:IPC_81/IPC_IO/P81,port,ipc,CAB-IPC,SLOT-IPC,81,P81,generated sample port
route:TRAY_38,route-node,route,CAB-ROUTE,SLOT-ROUTE,0,TRAY_38,generated sample route-node
device:IPC_35,device,ipc,CAB-IPC,SLOT-IPC,35,IPC_35,generated sample device
board:IPC_35/IPC_IO,board,ipc,CAB-IPC,SLOT-IPC,35,IPC_IO,generated sample board
port:IPC_35/IPC_IO/P35,port,ipc,CAB-IPC,SLOT-IPC,35,P35,generated sample port
